編號,日期,部門,項目,分類,金額,申請人,憑證類型,備註
E0001,2026-04-23,財務,高鐵票,交通,450,阿明,發票,
E0002,2026-04-20,行政,計程車,水電,8500,秀如,信用卡單,
E0003,2026-04-30,客服,辦公室清潔,文具,180,志強,收據,
E0004,2026-04-04,財務,影印紙,餐敘,1200,小李,發票,
E0005,2026-04-04,客服,便當,保險,12000,大維,收據,
E0006,2026-04-30,行政,便當,保險,18000,大維,轉帳證明,
E0007,2026-04-05,倉儲,耗材,差旅,12000,小李,收據,
E0008,2026-04-07,業務,辦公室清潔,行銷,35000,志強,發票,
E0009,2026-04-10,行政,保險續約,設備,8500,小李,信用卡單,
E0010,2026-04-10,客服,耗材,水電,18000,美玲,轉帳證明,
E0011,2026-04-10,行政,客戶禮,餐敘,3800,怡君,收據,
E0012,2026-04-26,客服,員工活動,文具,1200,阿明,收據,
E0013,2026-04-05,客服,耗材,保險,28000,美玲,轉帳證明,
E0014,2026-04-16,財務,計程車,水電,3500,秀如,發票,
E0015,2026-04-18,客服,員工活動,其他,1500,美玲,轉帳證明,
E0016,2026-04-17,行政,計程車,文具,180,美玲,信用卡單,
E0017,2026-04-03,財務,設備維修,維護,25000,秀如,發票,
E0018,2026-04-08,財務,客戶禮,網路,4500,小李,信用卡單,
E0019,2026-04-22,業務,客戶禮,其他,1500,美玲,轉帳證明,
E0020,2026-04-07,行政,辦公室清潔,交通,120,怡君,轉帳證明,
E0021,2026-04-16,財務,員工活動,保險,5500,文哲,收據,
E0022,2026-04-06,客服,高鐵票,設備,28000,大維,信用卡單,
E0023,2026-04-02,倉儲,便當,保險,18000,志強,發票,
E0024,2026-04-24,倉儲,影印紙,保險,12000,怡君,發票,
E0025,2026-04-13,倉儲,便當,保險,5500,美玲,發票,
E0026,2026-04-12,業務,辦公室清潔,水電,18000,秀如,轉帳證明,
E0027,2026-04-18,倉儲,設備維修,餐敘,12000,文哲,轉帳證明,
E0028,2026-04-16,行政,影印紙,差旅,5200,阿明,信用卡單,
E0029,2026-04-12,倉儲,辦公室清潔,會議,1500,阿明,信用卡單,
E0030,2026-04-23,財務,高鐵票,維護,25000,美玲,發票,
E0031,2026-04-01,業務,員工活動,設備,80000,秀如,發票,
E0032,2026-04-06,財務,耗材,設備,15000,大維,收據,
E0033,2026-04-08,客服,便當,其他,3500,阿明,發票,
E0034,2026-05-14,行政,HP 印表機,文具,25000,秀如,發票,項目「文具」金額過大、分類應該是設備
E0035,2026-04-20,客服,保險續約,文具,350,文哲,轉帳證明,
E0036,2026-04-30,客服,客戶禮,水電,12000,阿明,收據,
E0037,2026-04-28,財務,便當,水電,3500,志強,收據,
E0038,2026-04-30,客服,影印紙,交通,320,怡君,收據,
E0039,2026-04-10,財務,設備維修,差旅,8500,小李,發票,
E0040,2026-04-20,倉儲,辦公室清潔,會議,3500,美玲,發票,
E0041,2026-04-10,行政,設備維修,差旅,2500,小李,信用卡單,
E0042,2026-04-20,業務,辦公室清潔,水電,18000,文哲,發票,
E0043,2026-04-12,業務,耗材,其他,3500,美玲,信用卡單,
E0044,2026-04-02,倉儲,耗材,行銷,8500,小李,信用卡單,
E0045,2026-04-23,客服,高鐵票,餐敘,12000,阿明,發票,
E0046,2026-04-07,財務,計程車,餐敘,8000,文哲,發票,
E0047,2026-04-19,行政,設備維修,行銷,8500,文哲,轉帳證明,
E0048,2026-04-01,倉儲,員工活動,行銷,35000,小李,信用卡單,
E0049,2026-04-25,業務,辦公室清潔,保險,5500,志強,收據,
E0050,2026-04-05,業務,員工活動,網路,1200,怡君,信用卡單,
E0051,2026-04-05,財務,設備維修,網路,8500,阿明,轉帳證明,
E0052,2026-04-09,行政,保險續約,保險,5500,美玲,轉帳證明,
E0053,2026-04-13,客服,客戶禮,差旅,5200,大維,信用卡單,
E0054,2026-04-24,倉儲,便當,餐敘,5500,小李,收據,
E0055,2026-04-15,行政,耗材,水電,5800,秀如,信用卡單,
E0056,2026-04-04,業務,保險續約,交通,320,怡君,信用卡單,
E0057,2026-04-18,業務,耗材,水電,12000,秀如,收據,
E0058,2026-04-16,財務,高鐵票,行銷,18000,文哲,收據,
E0059,2026-04-12,倉儲,保險續約,會議,8500,怡君,信用卡單,
E0060,2026-04-26,倉儲,辦公室清潔,行銷,8500,阿明,信用卡單,
E0061,2026-04-18,客服,影印紙,其他,500,秀如,發票,
E0062,2026-04-29,業務,影印紙,網路,2800,怡君,轉帳證明,
E0063,2026-04-23,業務,客戶禮,網路,2800,美玲,收據,
E0064,2026-04-28,業務,設備維修,餐敘,8000,阿明,轉帳證明,
E0065,2026-04-16,倉儲,辦公室清潔,餐敘,12000,美玲,收據,
E0066,2026-04-17,客服,高鐵票,網路,2800,文哲,發票,
E0067,2026-04-27,行政,影印紙,維護,25000,大維,收據,
E0068,2026-04-05,行政,保險續約,差旅,12000,文哲,信用卡單,
E0069,2026-04-24,客服,計程車,設備,45000,志強,發票,
E0070,2026-04-23,客服,耗材,會議,3500,美玲,收據,
E0071,2026-04-26,業務,計程車,交通,780,阿明,發票,
E0072,2026-04-18,業務,影印紙,差旅,5200,小李,轉帳證明,
E0073,2026-05-15,財務,銀行手續費,其他,99999,怡君,轉帳證明,整數異常
E0074,2026-04-20,業務,保險續約,交通,450,志強,轉帳證明,
E0075,2026-04-25,客服,耗材,差旅,18000,美玲,收據,
E0076,2026-04-28,財務,辦公室清潔,網路,1200,怡君,收據,
E0077,2026-04-25,財務,便當,設備,80000,小李,信用卡單,
E0078,2026-04-26,業務,辦公室清潔,保險,5500,志強,轉帳證明,
E0079,2026-04-10,行政,設備維修,設備,8500,阿明,信用卡單,
E0080,2026-04-14,業務,影印紙,文具,580,小李,轉帳證明,
E0081,2026-04-17,客服,設備維修,其他,500,志強,轉帳證明,
E0082,2026-04-30,行政,辦公室清潔,差旅,3800,大維,轉帳證明,
E0083,2026-04-10,財務,設備維修,設備,150000,怡君,轉帳證明,
E0084,2026-04-06,行政,員工活動,保險,12000,文哲,發票,
E0085,2026-04-07,客服,設備維修,文具,1200,秀如,發票,
E0086,2026-04-04,財務,客戶禮,水電,18000,文哲,收據,
E0087,2026-04-24,業務,保險續約,其他,8500,怡君,信用卡單,
E0088,2026-04-05,倉儲,影印紙,會議,3500,阿明,轉帳證明,
E0089,2026-04-07,倉儲,高鐵票,水電,18000,大維,轉帳證明,
E0090,2026-04-10,客服,便當,設備,45000,大維,發票,
E0091,2026-04-14,財務,耗材,行銷,35000,怡君,轉帳證明,
E0092,2026-04-04,業務,便當,交通,250,阿明,信用卡單,
E0093,2026-05-10,倉儲,工業冷氣設備,設備,380000,文哲,發票,遠超同類年均
E0094,2026-04-24,行政,高鐵票,保險,28000,怡君,發票,
E0095,2026-04-23,倉儲,計程車,會議,3500,文哲,信用卡單,
E0096,2026-04-09,倉儲,客戶禮,文具,180,文哲,發票,
E0097,2026-04-05,業務,保險續約,網路,8500,怡君,發票,
E0098,2026-05-03,業務,客戶餐敘,餐敘,4800,阿明,發票,5/3 第二筆（重複？）
E0099,2026-04-19,客服,客戶禮,餐敘,12000,秀如,信用卡單,
E0100,2026-04-22,財務,辦公室清潔,保險,12000,怡君,轉帳證明,
E0101,2026-04-09,業務,便當,其他,8500,阿明,信用卡單,
E0102,2026-04-28,行政,保險續約,文具,2500,美玲,信用卡單,
E0103,2026-04-17,倉儲,便當,網路,8500,秀如,收據,
E0104,2026-04-20,業務,辦公室清潔,行銷,18000,大維,發票,
E0105,2026-04-01,業務,影印紙,會議,3500,小李,信用卡單,
E0106,2026-04-04,業務,計程車,交通,250,怡君,轉帳證明,
E0107,2026-04-01,倉儲,計程車,行銷,18000,志強,收據,
E0108,2026-04-03,業務,耗材,餐敘,8000,阿明,發票,
E0109,2026-04-10,財務,高鐵票,維護,2500,小李,轉帳證明,
E0110,2026-04-30,客服,計程車,維護,12000,文哲,收據,
E0111,2026-04-23,財務,影印紙,網路,1200,大維,收據,
E0112,2026-05-12,業務,客戶餐敘,餐敘,3500,大維,發票,5/12 為週日
E0113,2026-04-25,財務,高鐵票,文具,2500,文哲,發票,
E0114,2026-04-06,倉儲,計程車,行銷,68000,文哲,信用卡單,
E0115,2026-04-06,倉儲,員工活動,餐敘,2500,志強,收據,
E0116,2026-04-06,行政,保險續約,設備,8500,美玲,信用卡單,
E0117,2026-04-18,客服,影印紙,設備,80000,小李,發票,
E0118,2026-04-25,行政,影印紙,會議,3500,阿明,轉帳證明,
E0119,2026-04-04,業務,保險續約,行銷,68000,文哲,信用卡單,
E0120,2026-04-06,業務,設備維修,維護,2500,秀如,信用卡單,
E0121,2026-04-02,行政,高鐵票,行銷,68000,志強,轉帳證明,
E0122,2026-04-21,倉儲,耗材,其他,8500,阿明,信用卡單,
E0123,2026-04-13,業務,客戶禮,網路,2800,秀如,收據,
E0124,2026-04-23,行政,辦公室清潔,保險,12000,秀如,發票,
E0125,2026-04-10,業務,高鐵票,文具,2500,美玲,轉帳證明,
E0126,2026-04-22,業務,計程車,行銷,8500,阿明,發票,
E0127,2026-04-09,客服,高鐵票,維護,5800,文哲,收據,
E0128,2026-04-24,客服,計程車,會議,15000,志強,信用卡單,
E0129,2026-04-02,倉儲,便當,其他,500,美玲,收據,
E0130,2026-04-24,業務,保險續約,交通,180,阿明,收據,
E0131,2026-04-02,業務,影印紙,保險,12000,美玲,收據,
E0132,2026-04-25,倉儲,耗材,文具,580,怡君,收據,
E0133,2026-04-13,倉儲,員工活動,行銷,18000,志強,發票,
E0134,2026-04-30,客服,客戶禮,交通,450,阿明,發票,
E0135,2026-04-06,客服,便當,網路,8500,小李,發票,
E0136,2026-04-06,行政,設備維修,維護,12000,怡君,轉帳證明,
E0137,2026-04-07,行政,高鐵票,維護,2500,怡君,轉帳證明,
E0138,2026-04-24,倉儲,影印紙,水電,18000,美玲,發票,
E0139,2026-04-28,行政,耗材,餐敘,12000,小李,轉帳證明,
E0140,2026-04-08,財務,計程車,餐敘,12000,怡君,收據,
E0141,2026-04-19,倉儲,辦公室清潔,交通,780,大維,信用卡單,
E0142,2026-04-15,財務,辦公室清潔,其他,1500,怡君,轉帳證明,
E0143,2026-04-05,行政,耗材,水電,18000,阿明,信用卡單,
E0144,2026-04-14,財務,客戶禮,設備,150000,阿明,發票,
E0145,2026-04-23,倉儲,設備維修,水電,8500,志強,轉帳證明,
E0146,2026-04-15,財務,高鐵票,會議,3500,小李,信用卡單,
E0147,2026-04-14,財務,耗材,設備,80000,美玲,發票,
E0148,2026-04-01,業務,設備維修,保險,5500,大維,轉帳證明,
E0149,2026-04-02,客服,設備維修,網路,8500,阿明,信用卡單,
E0150,2026-04-03,財務,辦公室清潔,會議,3500,文哲,收據,
E0151,2026-04-24,財務,辦公室清潔,差旅,3800,阿明,信用卡單,
E0152,2026-04-06,行政,客戶禮,餐敘,5500,美玲,發票,
E0153,2026-04-09,業務,耗材,其他,1500,秀如,信用卡單,
E0154,2026-04-09,客服,耗材,會議,8500,怡君,收據,
E0155,2026-05-16,業務,便利商店午餐,差旅,1,志強,收據,金額異常小（疑誤打）
E0156,2026-04-02,行政,影印紙,水電,3500,志強,發票,
E0157,2026-04-28,財務,影印紙,保險,28000,志強,收據,
E0158,2026-04-09,行政,保險續約,網路,8500,怡君,發票,
E0159,2026-04-30,行政,設備維修,會議,1500,志強,信用卡單,
E0160,2026-04-27,業務,高鐵票,維護,2500,怡君,轉帳證明,
E0161,2026-04-22,行政,設備維修,保險,18000,阿明,信用卡單,
E0162,2026-04-22,財務,設備維修,交通,450,秀如,發票,
E0163,2026-04-15,業務,耗材,行銷,8500,美玲,轉帳證明,
E0164,2026-04-03,客服,辦公室清潔,差旅,8500,志強,發票,
E0165,2026-04-05,倉儲,計程車,交通,950,小李,轉帳證明,
E0166,2026-04-17,行政,辦公室清潔,餐敘,12000,怡君,信用卡單,
E0167,2026-04-14,業務,保險續約,設備,45000,志強,發票,
E0168,2026-04-17,行政,設備維修,網路,1200,秀如,收據,
E0169,2026-04-08,客服,影印紙,交通,780,美玲,信用卡單,
E0170,2026-05-03,業務,客戶餐敘,餐敘,4800,阿明,發票,5/3 第一筆
E0171,2026-04-04,財務,高鐵票,維護,2500,美玲,收據,
E0172,2026-04-17,業務,辦公室清潔,其他,3500,文哲,收據,
E0173,2026-04-28,客服,影印紙,差旅,8500,小李,發票,
E0174,2026-04-04,行政,設備維修,餐敘,8000,大維,轉帳證明,
E0175,2026-04-19,倉儲,便當,其他,3500,小李,信用卡單,
E0176,2026-04-29,客服,辦公室清潔,交通,180,阿明,轉帳證明,
E0177,2026-04-01,行政,便當,網路,1200,志強,轉帳證明,
E0178,2026-04-06,財務,客戶禮,行銷,35000,阿明,信用卡單,
E0179,2026-04-19,客服,計程車,差旅,12000,秀如,發票,
E0180,2026-04-01,行政,耗材,保險,12000,大維,信用卡單,
E0181,2026-04-17,財務,辦公室清潔,維護,12000,怡君,信用卡單,
E0182,2026-04-21,客服,便當,水電,12000,阿明,轉帳證明,
E0183,2026-04-20,財務,高鐵票,餐敘,3800,秀如,收據,
E0184,2026-04-17,行政,計程車,會議,3500,秀如,發票,
E0185,2026-04-04,行政,保險續約,交通,250,志強,轉帳證明,
E0186,2026-04-09,行政,員工活動,其他,500,文哲,信用卡單,
E0187,2026-04-03,行政,保險續約,保險,28000,志強,信用卡單,
E0188,2026-04-07,財務,影印紙,會議,8500,大維,信用卡單,
E0189,2026-04-14,行政,員工活動,交通,780,阿明,發票,
E0190,2026-04-29,客服,設備維修,餐敘,8000,秀如,收據,
E0191,2026-04-22,倉儲,客戶禮,文具,580,秀如,收據,
E0192,2026-04-02,倉儲,便當,餐敘,5500,志強,信用卡單,
E0193,2026-04-15,客服,客戶禮,設備,28000,大維,信用卡單,
E0194,2026-04-17,業務,影印紙,其他,1500,小李,轉帳證明,
E0195,2026-04-06,倉儲,計程車,餐敘,5500,大維,收據,
E0196,2026-04-01,客服,保險續約,維護,25000,阿明,發票,
E0197,2026-04-04,行政,耗材,水電,8500,怡君,信用卡單,
E0198,2026-04-20,倉儲,耗材,文具,2500,阿明,發票,
E0199,2026-04-05,財務,影印紙,維護,12000,怡君,轉帳證明,
E0200,2026-04-02,客服,高鐵票,其他,8500,秀如,轉帳證明,
